id,name,artist,cover_url,album_url,buy_url
62,3 Feet High and Rising,,https://fastly-s3.allmusic.com/release/mr0005899311/front/220/uMf9n9A0KMjfnfoAy0eakd_M69_UI9rrJSVvWL2-yAg=.jpg,,https://www.allmusic.com/album/3-feet-high-and-rising-mw0000199727
63,Mack the Knife: Ella in Berlin,,https://fastly-s3.allmusic.com/release/mr0004412331/front/220/uRAF_19YDX-xNZoZyiOkaB_TZlp6n_cq-Emr2zx15tU=.jpg,,https://www.allmusic.com/album/mack-the-knife-ella-in-berlin-mw0000649510
64,She's So Unusual,,https://fastly-s3.allmusic.com/release/mr0000434277/front/220/opF69y8peQr585KBg4uBpByhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/shes-so-unusual-mw0000194590
65,Anthology 1935-1973,,https://fastly-s3.allmusic.com/release/mr0001230470/front/220/wV19hxFOgyAX15_ONYwd5ZhUoDg0hsvx4F4sL4oO-nA=.jpg,,https://www.allmusic.com/album/anthology-1935-1973-mw0000264952
66,Mondo Mambo: The Best of Perez Prado,,https://fastly-s3.allmusic.com/release/mr0001943652/front/220/VKuN8-WOhPRXSuEvJWX15t_M69_UI9rrJSVvWL2-yAg=.jpg,,https://www.allmusic.com/album/mondo-mambo-the-best-of-perez-prado-mw0000175030
67,Jesus of Cool,,https://fastly-s3.allmusic.com/release/mr0000291558/front/220/DxEEEp2CII_Mjf0LIsuM0gSijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/jesus-of-cool-mw0000197696
72,Fresh Fruit for Rotting Vegetables,,https://fastly-s3.allmusic.com/release/mr0005699290/front/220/ciOI9XGjedSWMSxfrio-g9_M69_UI9rrJSVvWL2-yAg=.jpg,,https://www.allmusic.com/album/fresh-fruit-for-rotting-vegetables-mw0000189736
73,It Takes a Nation of Millions to Hold Us Back,,https://fastly-s3.allmusic.com/release/mr0003705501/front/220/-S3N4LS5DE7g8QUrmfn1CypQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/it-takes-a-nation-of-millions-to-hold-us-back-mw0000196315
74,Damaged,,https://fastly-s3.allmusic.com/release/mr0000087571/front/220/svUBor47lnixwqEV-XjOwhyhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/damaged-mw0000198777
75,This Year's Model,,https://fastly-s3.allmusic.com/release/mr0000928050/front/220/eglZNT_Tp_0cPt4Op35asz6KsMttLlyBmmVTZ6_CLs0=.jpg,,https://www.allmusic.com/album/this-years-model-mw0000189632
76,Surfer Rosa,,https://fastly-s3.allmusic.com/release/mr0000021425/front/220/ir3Xc3hIi3aig70SRKhHw4Af7E_1E-2MlBBPmPAXRBU=.jpg,,https://www.allmusic.com/album/surfer-rosa-mw0000196022
78,Death Certificate,,https://fastly-s3.allmusic.com/release/mr0004721868/front/220/hH-BBcEhCe4hvHuMOZfX3JhUoDg0hsvx4F4sL4oO-nA=.jpg,,https://www.allmusic.com/album/death-certificate-mw0000274693
79,The Clash,,https://fastly-s3.allmusic.com/release/mr0000000656/front/220/rSBU5ZVyVp7Nyu2mNJ9hew4Q1ghY8VaPylnm7PwcKNY=.jpg,,https://www.allmusic.com/album/the-clash-mw0000189492
80,Weill: The Seven Deadly Sins,,https://fastly-s3.allmusic.com/release/mr0006565686/front/220/Fq_uiFb7OugSYi7Jap8mOVWnbEN5fCjifro6xhIBuB4=.jpg,,https://www.allmusic.com/album/weill-the-seven-deadly-sins-mw0004426327
81,Here We Go Crazy,,https://fastly-s3.allmusic.com/release/mr0006580232/front/220/vG5iAwINF6NYXtKDUaigNoAf7E_1E-2MlBBPmPAXRBU=.jpg,,https://www.allmusic.com/album/here-we-go-crazy-mw0004438722
88,The Downward Spiral,,https://fastly-s3.allmusic.com/release/mr0000781250/front/220/DoHn4pXXd2R7evqUL85lrwSijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/the-downward-spiral-mw0000110711
90,The Singles 86>98,,https://fastly-s3.allmusic.com/release/mr0000005679/front/220/dktMeAePgqbOH9--bvNkqR_TZlp6n_cq-Emr2zx15tU=.jpg,,https://www.allmusic.com/album/the-singles-8698-mw0000044407
91,Violator,,https://fastly-s3.allmusic.com/release/mr0001462976/front/220/RADi4whS7S1y-Ku1atkK25hUoDg0hsvx4F4sL4oO-nA=.jpg,,https://www.allmusic.com/album/violator-mw0000206302
92,The Purple Bird,,https://fastly-s3.allmusic.com/release/mr0006595120/front/220/vQouZT-HcUHc0Bu3IZaBHypQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/the-purple-bird-mw0004399541
94,Balloonerism,,https://fastly-s3.allmusic.com/release/mr0006498065/front/220/Y4nWZZiS4IcxqxCEiH6pTFWnbEN5fCjifro6xhIBuB4=.jpg,,https://www.allmusic.com/album/balloonerism-mw0004431743
95,Symphony of Lungs: BBC Proms at the Royal Albert Hall,,https://fastly-s3.allmusic.com/release/mr0006531910/front/220/MUgcLxqZH-ErCnmn8YO74CpQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/symphony-of-lungs-bbc-proms-at-the-royal-albert-hall-mw0004398589
97,Lawdy!,,https://fastly-s3.allmusic.com/release/mr0001321264/front/220/aqOMN8f6XiPBT0q75IRJzxyhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/lawdy%21-mw0000674677
101,Good Time Tonight,,https://fastly-s3.allmusic.com/release/mr0000766572/front/220/bJyVT63gu9QOJHRGVwmN9d_M69_UI9rrJSVvWL2-yAg=.jpg,,https://www.allmusic.com/album/good-time-tonight-mw0000315914
103,Anthology,,https://fastly-s3.allmusic.com/release/mr0001159450/front/220/2ePwWMjdJs-klNVjrtgvoQSijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/anthology-mw0000035955
104,Plus One,,https://fastly-s3.allmusic.com/release/mr0006569943/front/220/i_6yLyBZrJI29mzZjd83Zg4Q1ghY8VaPylnm7PwcKNY=.jpg,,https://www.allmusic.com/album/plus-one-mw0004430088
105,EUSEXUA,,https://fastly-s3.allmusic.com/release/mr0006511599/front/220/WMo74TKuvpmR_hqcbFJrERyhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/eusexua-mw0004383108
106,For Melancholy Brunettes (& Sad Women),,https://fastly-s3.allmusic.com/release/mr0006598345/front/220/WKpeN77cvN3rQQfQF1MOcA4Q1ghY8VaPylnm7PwcKNY=.jpg,,https://www.allmusic.com/album/for-melancholy-brunettes--sad-women-mw0004453485
107,Sharon Van Etten & the Attachment Theory,,https://fastly-s3.allmusic.com/release/mr0006536344/front/220/Etvqw1USTmQqzU4IUH8pHgSijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/sharon-van-etten-the-attachment-theory-mw0004401948
108,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do,,https://fastly-s3.allmusic.com/release/mr0003603898/front/220/kx4G8ktyQa5NfDRb2MfU1xyhM-OFI8zG4l-qVpXXB1I=.jpg,,https://www.allmusic.com/album/the-idler-wheel-is-wiser-than-the-driver-of-the-screw-and-whipping-cords-will-serve-you-more-than-ropes-will-ever-do-mw0002332951
109,Strauss: Salome [DVD Video],,https://fastly-s3.allmusic.com/release/mr0002679665/front/220/fprU9kQdJgW5yyjzzPrwWoAf7E_1E-2MlBBPmPAXRBU=.jpg,,https://www.allmusic.com/album/strauss-salome-dvd-video--mw0001428726
110,Music of Edgar Varèse,,https://fastly-s3.allmusic.com/release/mr0002069938/front/220/dgZdBk88Eu-HLlD2V3XTsQ4Q1ghY8VaPylnm7PwcKNY=.jpg,,https://www.allmusic.com/album/music-of-edgar-var%C3%A8se-mw0000942374
111,"The Complete, Legendary, Live Return Concert",,https://fastly-s3.allmusic.com/release/mr0005535793/front/220/nDSz7i4AZ7SlzaWNq3Y034Af7E_1E-2MlBBPmPAXRBU=.jpg,,https://www.allmusic.com/album/the-complete-legendary-live-return-concert-mw0003622360
112,Stravinsky: Firebird; Rite of Spring,,https://fastly-s3.allmusic.com/release/mr0002711153/front/220/aK7X17RC0rE32jQLTxgvICpQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/stravinsky-firebird-rite-of-spring-mw0001365999
113,Blues Symphony: Wynton Marsalis Symphony No. 2,,https://fastly-s3.allmusic.com/release/mr0005424781/front/220/xyAdaMRwDPyFZu1x-DMMkT6KsMttLlyBmmVTZ6_CLs0=.jpg,,https://www.allmusic.com/album/blues-symphony-wynton-marsalis-symphony-no-2-mw0003537890
114,Landfall,,https://fastly-s3.allmusic.com/release/mr0004833102/front/220/N1k05quzoTNrCTkjwqv7xwSijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/landfall-mw0003133490
115,Splazsh,,https://fastly-s3.allmusic.com/release/mr0002920535/front/220/6kOyeHFbr4DLPbzdiH1N34Af7E_1E-2MlBBPmPAXRBU=.jpg,,https://www.allmusic.com/album/splazsh-mw0001989386
116,Flashpoints and Undercurrents,,https://fastly-s3.allmusic.com/release/mr0006549008/front/220/EURKhT6DDLCoM5vzzr1pXz6KsMttLlyBmmVTZ6_CLs0=.jpg,,https://www.allmusic.com/album/flashpoints-and-undercurrents-mw0004412377
117,"War, Silence: Rare Italian Piano Concertos",,https://fastly-s3.allmusic.com/release/mr0006614291/front/220/fCd7TyzT7i6pigSm3ntpVSpQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/war-silence-rare-italian-piano-concertos-mw0004416407
119,John Zorn: Complete String Quartets,,https://fastly-s3.allmusic.com/release/mr0006567739/front/220/U-JqEstNPtxdX_kIU_8wXlWnbEN5fCjifro6xhIBuB4=.jpg,,https://www.allmusic.com/album/john-zorn-complete-string-quartets-mw0004428129
121,Singles Going Steady,,https://fastly-s3.allmusic.com/release/mr0000827721/front/220/-qE7gGnXo88VuSGEbYQInt_M69_UI9rrJSVvWL2-yAg=.jpg,,https://www.allmusic.com/album/singles-going-steady-mw0000651822
122,Moby,,https://fastly-s3.allmusic.com/release/mr0000778211/front/220/qjw0SgaKjZDxkRtZWnuCTQSijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/moby-mw0000086878
123,"John Williams: Greatest Hits, 1969-1999",,https://fastly-s3.allmusic.com/release/mr0001245328/front/220/5Fqi5qcA5h-yjKcR4qIsnT6KsMttLlyBmmVTZ6_CLs0=.jpg,,https://www.allmusic.com/album/john-williams-greatest-hits-1969-1999-mw0000395642
124,Her Very Best,,https://fastly-s3.allmusic.com/release/mr0001338894/front/220/rSIZlQ3vM6TShfanAPD29Q4Q1ghY8VaPylnm7PwcKNY=.jpg,,https://www.allmusic.com/album/her-very-best-mw0000649945
125,Pink Flag,,https://fastly-s3.allmusic.com/release/mr0000532687/front/220/rRMy9CXQsUHAuHVPCzHfzgSijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/pink-flag-mw0000192366
126,On Returning (1977-1979),,https://fastly-s3.allmusic.com/release/mr0001574061/front/220/sST4yPGiOQdwn3XwCUNzpQSijaXJlYnq0St31qpAJWo=.jpg,,https://www.allmusic.com/album/on-returning-1977-1979-mw0000201598
130,Mahler: Symphonie Nr. 7,,https://fastly-s3.allmusic.com/release/mr0006551128/front/220/wFbo8bdq16gYQE8dioqAOCpQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/mahler-symphonie-nr-7-mw0004414178
131,Closer to the Bone,,https://fastly-s3.allmusic.com/release/mr0006566360/front/220/QmLAllguqYGLG2gdsqm0ZT6KsMttLlyBmmVTZ6_CLs0=.jpg,,https://www.allmusic.com/album/closer-to-the-bone-mw0004426928
132,Viva la Vida or Death and All His Friends,,https://fastly-s3.allmusic.com/release/mr0001168735/front/220/3IvKjcFS8q8uxnMdda7PClWnbEN5fCjifro6xhIBuB4=.jpg,,https://www.allmusic.com/album/viva-la-vida-or-death-and-all-his-friends-mw0000787235
133,Born This Way,,https://fastly-s3.allmusic.com/release/mr0003339969/front/220/7peyNcSTO7koHz991RJAE5hUoDg0hsvx4F4sL4oO-nA=.jpg,,https://www.allmusic.com/album/born-this-way-mw0002132518
134,Vault: Def Leppard Greatest Hits 1980-1995,,https://fastly-s3.allmusic.com/release/mr0000360892/front/220/rqJ-uvXau4g5-4ikjSeAc1WnbEN5fCjifro6xhIBuB4=.jpg,,https://www.allmusic.com/album/vault-def-leppard-greatest-hits-1980-1995-mw0000645839
135,Pyromania,,https://fastly-s3.allmusic.com/release/mr0001765611/front/220/KnWyjP7DmgYGd6ORjLiHFCpQg_7iAU1wjqLgK_xGXts=.jpg,,https://www.allmusic.com/album/pyromania-mw0000189739
136,"Tom & Will: Weelkes & Byrd, 400 Years",,https://fastly-s3.allmusic.com/release/mr0005868114/front/220/Olv__tiLRRLBIUHBdCqXQFWnbEN5fCjifro6xhIBuB4=.jpg,,https://www.allmusic.com/album/tom-will-weelkes-byrd-400-years-mw0003874125
